request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|0.0|1359|0.0152| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|0.0|460|0.0115| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|0.0|292|0.0121| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|0.0028|351|0.0154| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|0.0|388|0.0127| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|0.0|395|0.0129| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|0.8368|1409|0.0127| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|0.0|449|0.0121| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|0.0|561|0.0141| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|0.0033|307|0.0113| C|
10|public_relations|0|0|1|0|1|399|1|0.0025|399|1|0.0025|399|0.0134| C|
11|sociology|1|1|1|||403|0|0.0|403|0|0.0|403|0.0122| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|0.8878|294|0.0113| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|0.0|458|0.0114| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|0.0|625|0.012| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|0.8784|1341|0.012| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|0.0|429|0.0112| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|0.8957|393|0.0115| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|0.0023|430|0.0124| B|
19|professional_psychology|2|2|1|2|1|406|352|0.867|406|352|0.867|406|0.0128| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|0.8693|436|0.0092| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|0.0026|385|0.0104| C|
22|high_school_biology|0|0|1|0|1|478|329|0.6883|478|329|0.6883|478|0.0119| B|
23|management|2|2|2|||278|0|0.0|278|0|0.0|278|0.0104| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|0.8224|428|0.0096| D|
25|jurisprudence|3|3|1|3|1|535|1|0.0019|535|1|0.0019|535|0.011| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|0.0|404|0.0115| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|0.0|395|0.0086| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|0.0|1656|0.0132| C|
29|philosophy|3|3|0|3|0|288|1|0.0035|288|1|0.0035|288|0.0121| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|0.0083|360|0.0112| B|
31|international_law|0|0|1|0|1|537|1|0.0019|537|1|0.0019|537|0.0127| C|
32|professional_psychology|3|3|1|3|1|429|352|0.8205|429|352|0.8205|429|0.0118| B|
33|logical_fallacies|1|1|0|1|0|502|1|0.002|502|1|0.002|502|0.0108| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|0.0049|1637|0.0223| C|
35|miscellaneous|0|0|2|0|2|291|261|0.8969|291|261|0.8969|291|0.011| D|
