request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.026|0.0|0.0231|0.0095|0.0326|1359|0.7173| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.021|0.0|0.0049|0.0045|0.0094|460|0.2494| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0131|0.0|0.0061|0.0021|0.0082|292|0.1902| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0126|0.0|0.0042|0.0044|0.0086|351|0.2097| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0122|0.0|0.0067|0.0048|0.0115|388|0.2257| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0125|0.0|0.0049|0.0033|0.0082|395|0.2248| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0263|0.0|0.0121|0.0146|0.0267|1409|0.1893| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.0144|0.0|0.0056|0.0056|0.0112|449|0.2472| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.0148|0.0|0.0073|0.0076|0.0149|561|0.2936| C|
9|human_aging|1|1|3|1|3|307|261|0.8502|307|261|46|0.8502|0.1113|0.0365|0.004|0.0118|0.0085|0.0203|307|0.1356| C|
10|public_relations|0|0|1|0|1|399|1|0.0025|399|1|398|0.0025|0.2177|0.0174|0.0036|0.0169|0.0092|0.0261|399|0.2474| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0266|0.0|0.0123|0.0116|0.0239|403|0.2434| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.0145|0.0|0.0102|0.0083|0.0185|294|0.1266| A|
13|high_school_chemistry|3|3|2|3|2|458|379|0.8275|458|379|79|0.8275|0.1198|0.0115|0.0044|0.0115|0.0108|0.0223|458|0.1465| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.0256|0.0|0.018|0.0138|0.0318|625|0.3365| C|
